id_posto,razao_posto,cnpj_posto,endereco_posto,bairro_posto,cep_posto,uf_posto,munic_posto,nota_posto
12290,"H M A COMERCIAL DE COMBUSTIVEIS LTDA",1564759000160,"RUA PROF GOMES BRASIL,  475",PARANGABA,60720150,CE,FORTALEZA,10
12291,"TVC COMERCIO DE DERIVADOS DE PETROLEO LTDA",1690127000142,"RUA BARAO AQUIRAZ,  3101",COACU,60871684,CE,FORTALEZA,7
12292,"JG COMERCIO DE PETROLEO LTDA",2135496000217,"RUA ENG ANTONIO FERREIRA ANTERO,  455",COCO,60821765,CE,FORTALEZA,6
12293,"DAMPETRO COMERCIO DE DERIVADOS DE PETROLEO LTDA",2486455000194,"AVENIDA BARAO DE STUDART,  1050",ALDEOTA,60120001,CE,FORTALEZA,7
12294,"G A COMERCIO DE DERIVADOS DE PETROLEO LTDA",3477535000146,"AVENIDA JORNALISTA TOMAZ COELHO,  410",MESSEJANA,60842020,CE,FORTALEZA,10
12295,"MILLENNIUM PETROLEO LTDA",3524403000128,"AVENIDA DEPUTADO PAULINO ROCHA,  3003",CASTELAO,60864310,CE,FORTALEZA,5
12296,"SUPER COMERCIO DE COMBUSTIVEIS LTDA",3720675000101,"TRAVESSA PARIS,  1133",PAPICU,60175690,CE,FORTALEZA,5
12297,"BARRACUDA COMERCIAL DE PETROLEO LTDA",6220994000138,"RUA GODOFREDO MACIEL,  277",PARANGABA,60710000,CE,FORTALEZA,10
12298,"IGUATEMI DERIVADOS DE PETROLEO LTDA",7304199000352,"AVENIDA OSORIO DE PAIVA,  6800",SIQUEIRA,60720001,CE,FORTALEZA,8
12299,"SUELLEN QUEIROS PINHEIRO - ME",7913812000177,"AVENIDA D,  1289","CONJUNTO CEARA",60533620,CE,FORTALEZA,9
12300,"LEONARDO LIMA E CIA LTDA - EPP",7936289000102,"AVENIDA PRES CASTELO BRANCO,  709",JACARECANGA,60312060,CE,FORTALEZA,8
12301,"MONTEZUMA COMERCIO E SERVICOS DE PETROLEO LTDA",8394192000170,"AVENIDA ESTRADA BARAO DE AQUIRAZ,  2530",COACU,60871684,CE,FORTALEZA,3
12302,"MONTEZUMA COMERCIO E SERVICOS DE PETROLEO LTDA",8394192000684,"RUA GRACA ARANHA,  150","BARRA DO CEARA",60334170,CE,FORTALEZA,9
12303,"JOCKEY COMÉRCIO DE COMBUSTÍVEIS LTDA.",9324577000123,"AVENIDA LINEU MACHADO,  560",PICI,60520380,CE,FORTALEZA,7
12304,"DISTRIBUIDORA DE PETROLEO NOTA DEZ LTDA",9434042000105,"AVENIDA PADRE ANTONIO TOMAS,  3600",PAPICU,60140160,CE,FORTALEZA,9
12305,"AB COMERCIO DE COMBUSTIVEIS E LUBRIFICANTES LTDA",9455725000149,"RUA VALPARAISO,  700","CONJUNTO PALMEIRAS",60870440,CE,FORTALEZA,8
12306,"POSTO BRAGA CAMBEBA EIRELI",10343353000148,"AVENIDA MINISTRO JOSE AMERICO,  1281","PARQUE IRACEMA",60824245,CE,FORTALEZA,8
12307,"DALLAS DERIVADOS DE PETROLEO LTDA",10478691000510,"AVENIDA PROFESSOR GOMES DE MATOS,  1065",MONTESE,60410001,CE,FORTALEZA,3
12308,"SL COMERCIAL DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA",10704108000119,"AVENIDA VISCONDE DO RIO BRANCO,  5922",AEROLANDIA,60055172,CE,FORTALEZA,4
12309,"PADRE PIO COMERCIO DE COMBUSTIVEIS LTDA",12317351000100,"RUA DOUTOR  ALISIO MAMEDE,  463",VARJOTA,60175310,CE,FORTALEZA,8
12310,"ANJOS COMERCIO DE DERIVADOS DE PETROLEO LTDA",14496482000127,"AVENIDA ALBERTO CRAVEIRO,  1347","BOA VISTA",60861211,CE,FORTALEZA,6
12311,"VIP COMERCIO DE PETROLEO LTDA",16577643000132,"RUA SENADOR ALENCAR,  1181",CENTRO,60030051,CE,FORTALEZA,4
12312,"IPANEMA COMERCIO E SERVICOS DE DERIVADOS DE PETROLEO LTDA",17858105000189,"RUA RIO GRANDE DO SUL,  1240","DEMOCRITO ROCHA",60440131,CE,FORTALEZA,10
12313,"PROJECAO COMERCIO DE DERIVADOS DE PETROLEO LTDA.",22278355000180,"RUA PADRE VALDEVINO,  999",ALDEOTA,60135041,CE,FORTALEZA,3
12314,"J C COMERCIO DE COMBUSTIVEL LTDA",23570062000134,"AVENIDA ANTONIO JUSTA,  2400",MEIRELES,60160090,CE,FORTALEZA,4
12315,"F.NOBRE COMERCIO DE PETROLEO LTDA",30370632000108,"RUA NOGUEIRA ACIOLI,  767",CENTRO,60110140,CE,FORTALEZA,3
12316,"G.M. COMERCIO DE COMBUSTIVEIS LTDA",39895264000196,"AVENIDA WASHINGTON SOARES,  6445","JOSE DE ALENCAR",60830005,CE,FORTALEZA,8
12317,"PRIME COMERCIO DE COMBUSTIVEIS E DERIVADOS DE PETROLEO LTDA",40522425000185,"AVENIDA DEPUTADO PAULINO ROCHA,  2000",CAJAZEIRAS,60864310,CE,FORTALEZA,4
12318,"COMERCIAL JOAO FERREIRA PETROLEO LTDA",41414822000368,"RUA SENADOR ALVARO ADOLFO,  1789","ANTÔNIO BEZERRA",60355570,CE,FORTALEZA,9
12319,"CENTRO EMPRESARIAL DRA ZUILA ALENCAR BARREIRA BRAGA LTD",41557018000176,"AVENIDA JOSE BASTOS,  3950",DAMAS,60020292,CE,FORTALEZA,9
12320,"DISTRIBUIDORA CANAA DE COMBUSTIVEIS LTDA",41560566000155,"AVENIDA ANTONIO SALES,  2880","DIONISIO TORRES",60135102,CE,FORTALEZA,5
12321,"LEAL VIII COMERCIO DE PETROLEO LTDA",44857025000181,"AVENIDA BEZERRA DE MENEZES,  2323","SAO GERARDO",60325004,CE,FORTALEZA,6
12322,"COMERCIAL RECAMONDE DERIVADOS DE PETROLEO LTDA",63456560000256,"AVENIDA DR THERBERGE,  1620",COLONIA,60335480,CE,FORTALEZA,10
12323,"POSTO SAO DOMINGOS LTDA",69366128000250,"AVENIDA MISTER HULL,  4000","ANTONIO BEZERRA",60356000,CE,FORTALEZA,7
12324,"POSTO SHOPING MANGUE LTDA",86870680000110,"AVENIDA RAUL BARBOSA,  900","PIO XII",60130530,CE,FORTALEZA,3
